Will,183707605032501248,4
Dank Memer,270904126974590976,3
OGooseBot,825467569800347649,3
PatchBot,402528814548254720,2
OwO,408785106942164992,2
Nekotina,429457053791158281,2
Mudae,432610292342587392,2
Arcane,437808476106784770,2
ZeroTwo,469610550159212554,2
TacoShack,490707751832649738,2
Mimu,493716749342998541,2
EPIC RPG,555955826880413696,2
Virtual Fisher,574652751745777665,2
Soccer Guru,668075833780469772,2
Patrol Bot,763506280421392466,2
Naruto Botto,770100332998295572,2
Katheryne,774806286051049504,2
OGooseTesting,850094950704218182,2
eunseo,850691260325953546,2
SOFI,853629533855809596,2
Pokétwo,716390085896962058,1
Translation Bot,871841361375154227,1
