"Sahltun, Second Shamless OG Simp",851793328702095390,2
PF,410440411275067393,2
RIP,632914316542345246,2
shu,569722561865187358,2
dox,348442111403622410,2
Willie Wankers,754724309276164159,2
Karleen #DreamOG,757660611512369244,2
tRīKŠhõT28°,558827287428988939,2
SexyB,460080213552922637,2
Kaori 🥀,700261662023745627,2
"Pewpi, Saksa & Misha simp",492549065041510403,2
Chikorita,292015530309582848,2
Winke Winke Gablel,199584782051573760,2
Innokenty👽,389454049528774662,2
tweeksdk,546974446154547202,2
"Q, Jinx and Curse Master",491792271188951050,2
Patrick,271325075909640202,2
OG l Bryn,165146318954692608,2
Daybom Kit,204923365205475329,1
Polaire Ursus #TY7eb #SvenSimp,269664992553336833,1
NotChris,529592038367166474,1
happybunny,733626039002988574,1
(Le Unibers),522016323992158221,1
"sam.ai, invoker simp",332438787588227072,1
athena,641880312099504169,1
"F1D, Misha and Chuvash Simp🥕",356378405081579520,1
Shinbo,141651693694746624,1
Muni Sjarfí,181258216955445248,1
hariz,361140246345154560,1
cintulmaut,517924697120440342,1
chesquall,757988269442072726,1
Xiaonai,698865569386070036,1
Meawch,147349524484980736,1
Bourbon,432051239166017537,1
losealo,501045442444787722,1
Tempong🐰🥕,664728273229578251,1
Glitter,162763613814128645,1
C̶l̶a̶y̶,301410755037757453,1
pg132,432196325258297345,1
azraelucifer⌁,472619509786738699,1
sgtsarcasm est,363545910443245569,1
-N1kcla$D 🌻,293360731867316225,1
a shameless OG simp,408502655275761664,1
riverwind,213986237785178114,1
Ferox,403863563342446593,1
frequ,264402864393289729,1
Adamas,731807707786379304,1
Moris,523871412734263305,1
Cal #SAYHISNAME,194916512010731520,1
Lau,538206137401737263,1
Wi33 #thanks_for_everything_sam,183707605032501248,1
Seraphim,746346440946876547,1
mh,548876299888754689,1
Mova,122743983314173952,1
